case_id,published_label,original_label
wice:dev02866,NOT_ATTRIBUTABLE,not_supported
wice:dev01120,ATTRIBUTABLE,supported
wice:dev02638,ATTRIBUTABLE,supported
wice:dev03568,NOT_ATTRIBUTABLE,partially_supported
wice:dev02628,NOT_ATTRIBUTABLE,partially_supported
wice:dev02115,ATTRIBUTABLE,supported
wice:dev01695,NOT_ATTRIBUTABLE,partially_supported
wice:dev02641,NOT_ATTRIBUTABLE,not_supported
wice:dev00398,NOT_ATTRIBUTABLE,partially_supported
wice:dev03529,NOT_ATTRIBUTABLE,partially_supported
wice:dev01611,NOT_ATTRIBUTABLE,partially_supported
wice:dev00164,ATTRIBUTABLE,supported
wice:dev00418,NOT_ATTRIBUTABLE,partially_supported
wice:dev01654,NOT_ATTRIBUTABLE,partially_supported
wice:dev02254,ATTRIBUTABLE,supported
wice:dev03856,NOT_ATTRIBUTABLE,partially_supported
wice:dev01445,ATTRIBUTABLE,supported
wice:dev01753,NOT_ATTRIBUTABLE,partially_supported
wice:dev02854,ATTRIBUTABLE,supported
wice:dev03717,NOT_ATTRIBUTABLE,partially_supported
wice:dev03055,NOT_ATTRIBUTABLE,partially_supported
wice:dev02851,NOT_ATTRIBUTABLE,partially_supported
wice:dev02187,NOT_ATTRIBUTABLE,partially_supported
wice:dev02529,NOT_ATTRIBUTABLE,partially_supported
wice:dev00429,NOT_ATTRIBUTABLE,partially_supported
wice:dev04085,NOT_ATTRIBUTABLE,partially_supported
wice:dev03756,NOT_ATTRIBUTABLE,partially_supported
wice:dev04343,ATTRIBUTABLE,supported
wice:dev02827,ATTRIBUTABLE,supported
wice:dev04091,NOT_ATTRIBUTABLE,partially_supported
wice:dev02178,ATTRIBUTABLE,supported
wice:dev02597,NOT_ATTRIBUTABLE,partially_supported
wice:dev01863,ATTRIBUTABLE,supported
wice:dev00877,ATTRIBUTABLE,supported
wice:dev01098,NOT_ATTRIBUTABLE,partially_supported
wice:dev02629,NOT_ATTRIBUTABLE,partially_supported
wice:dev00590,NOT_ATTRIBUTABLE,partially_supported
wice:dev03549,NOT_ATTRIBUTABLE,partially_supported
wice:dev00003,NOT_ATTRIBUTABLE,not_supported
wice:dev01997,NOT_ATTRIBUTABLE,partially_supported
wice:dev04121,ATTRIBUTABLE,supported
wice:dev00018,ATTRIBUTABLE,supported
wice:dev02358,ATTRIBUTABLE,supported
wice:dev03481,ATTRIBUTABLE,supported
wice:dev03969,ATTRIBUTABLE,supported
wice:dev03851,ATTRIBUTABLE,supported
wice:dev02657,NOT_ATTRIBUTABLE,partially_supported
wice:dev03225,NOT_ATTRIBUTABLE,partially_supported
wice:dev02198,NOT_ATTRIBUTABLE,partially_supported
wice:dev02825,NOT_ATTRIBUTABLE,partially_supported
wice:dev00520,NOT_ATTRIBUTABLE,partially_supported
wice:dev04156,NOT_ATTRIBUTABLE,not_supported
wice:dev04220,NOT_ATTRIBUTABLE,partially_supported
wice:dev02203,NOT_ATTRIBUTABLE,not_supported
wice:dev04007,NOT_ATTRIBUTABLE,partially_supported
wice:dev03282,NOT_ATTRIBUTABLE,partially_supported
wice:dev01021,NOT_ATTRIBUTABLE,not_supported
wice:dev03033,NOT_ATTRIBUTABLE,partially_supported
wice:dev04478,NOT_ATTRIBUTABLE,partially_supported
wice:dev00572,NOT_ATTRIBUTABLE,partially_supported
wice:dev04376,NOT_ATTRIBUTABLE,partially_supported
wice:dev00888,NOT_ATTRIBUTABLE,not_supported
wice:dev02039,NOT_ATTRIBUTABLE,partially_supported
wice:dev03634,NOT_ATTRIBUTABLE,not_supported
wice:dev03176,ATTRIBUTABLE,supported
wice:dev02595,ATTRIBUTABLE,supported
wice:dev03008,NOT_ATTRIBUTABLE,partially_supported
wice:dev00764,NOT_ATTRIBUTABLE,partially_supported
wice:dev01660,ATTRIBUTABLE,supported
wice:dev00028,ATTRIBUTABLE,supported
wice:dev03994,NOT_ATTRIBUTABLE,partially_supported
wice:dev00932,NOT_ATTRIBUTABLE,partially_supported
wice:dev03864,NOT_ATTRIBUTABLE,partially_supported
wice:dev00588,NOT_ATTRIBUTABLE,partially_supported
wice:dev02300,NOT_ATTRIBUTABLE,partially_supported
wice:dev01340,ATTRIBUTABLE,supported
wice:dev04446,NOT_ATTRIBUTABLE,partially_supported
wice:dev03983,NOT_ATTRIBUTABLE,partially_supported
wice:dev01971,NOT_ATTRIBUTABLE,partially_supported
wice:dev01222,ATTRIBUTABLE,supported
wice:dev00704,NOT_ATTRIBUTABLE,partially_supported
wice:dev00288,NOT_ATTRIBUTABLE,not_supported
wice:dev01929,NOT_ATTRIBUTABLE,not_supported
wice:dev03748,ATTRIBUTABLE,supported
wice:dev00405,ATTRIBUTABLE,supported
wice:dev00940,NOT_ATTRIBUTABLE,partially_supported
wice:dev03632,NOT_ATTRIBUTABLE,partially_supported
wice:dev03292,ATTRIBUTABLE,supported
wice:dev02821,NOT_ATTRIBUTABLE,partially_supported
wice:dev00388,NOT_ATTRIBUTABLE,partially_supported
wice:dev04516,NOT_ATTRIBUTABLE,partially_supported
wice:dev02457,NOT_ATTRIBUTABLE,partially_supported
wice:dev01861,NOT_ATTRIBUTABLE,partially_supported
wice:dev02788,NOT_ATTRIBUTABLE,not_supported
wice:dev04100,NOT_ATTRIBUTABLE,partially_supported
wice:dev00280,ATTRIBUTABLE,supported
wice:dev00328,ATTRIBUTABLE,supported
wice:dev03640,ATTRIBUTABLE,supported
wice:dev00025,NOT_ATTRIBUTABLE,partially_supported
wice:dev03198,NOT_ATTRIBUTABLE,partially_supported
wice:dev01152,ATTRIBUTABLE,supported
wice:dev04063,NOT_ATTRIBUTABLE,not_supported
wice:dev01564,ATTRIBUTABLE,supported
wice:dev02758,NOT_ATTRIBUTABLE,not_supported
wice:dev00030,NOT_ATTRIBUTABLE,partially_supported
wice:dev04326,NOT_ATTRIBUTABLE,partially_supported
wice:dev01425,NOT_ATTRIBUTABLE,partially_supported
wice:dev01435,NOT_ATTRIBUTABLE,not_supported
wice:dev02875,ATTRIBUTABLE,supported
wice:dev02746,NOT_ATTRIBUTABLE,partially_supported
wice:dev01234,NOT_ATTRIBUTABLE,partially_supported
wice:dev01434,NOT_ATTRIBUTABLE,not_supported
wice:dev01549,NOT_ATTRIBUTABLE,partially_supported
wice:dev02208,NOT_ATTRIBUTABLE,partially_supported
wice:dev00617,NOT_ATTRIBUTABLE,partially_supported
wice:dev01220,NOT_ATTRIBUTABLE,partially_supported
wice:dev04175,ATTRIBUTABLE,supported
wice:dev04385,NOT_ATTRIBUTABLE,partially_supported
wice:dev02908,NOT_ATTRIBUTABLE,not_supported
wice:dev02849,ATTRIBUTABLE,supported
wice:dev04359,ATTRIBUTABLE,supported
wice:dev03957,NOT_ATTRIBUTABLE,partially_supported
wice:dev00956,ATTRIBUTABLE,supported
wice:dev03904,NOT_ATTRIBUTABLE,not_supported
wice:dev00327,ATTRIBUTABLE,supported
wice:dev03525,NOT_ATTRIBUTABLE,partially_supported
wice:dev02139,NOT_ATTRIBUTABLE,partially_supported
wice:dev03269,NOT_ATTRIBUTABLE,partially_supported
wice:dev03613,NOT_ATTRIBUTABLE,partially_supported
wice:dev01209,ATTRIBUTABLE,supported
wice:dev04076,NOT_ATTRIBUTABLE,not_supported
wice:dev01455,NOT_ATTRIBUTABLE,partially_supported
wice:dev01694,NOT_ATTRIBUTABLE,not_supported
wice:dev03806,ATTRIBUTABLE,supported
wice:dev01774,ATTRIBUTABLE,supported
wice:dev03536,ATTRIBUTABLE,supported
wice:dev04119,ATTRIBUTABLE,supported
wice:dev04211,NOT_ATTRIBUTABLE,partially_supported
wice:dev02057,NOT_ATTRIBUTABLE,partially_supported
wice:dev02273,NOT_ATTRIBUTABLE,partially_supported
wice:dev03920,ATTRIBUTABLE,supported
wice:dev03142,NOT_ATTRIBUTABLE,partially_supported
wice:dev03296,NOT_ATTRIBUTABLE,partially_supported
wice:dev04032,ATTRIBUTABLE,supported
wice:dev03528,NOT_ATTRIBUTABLE,not_supported
wice:dev03609,NOT_ATTRIBUTABLE,partially_supported
wice:dev03965,ATTRIBUTABLE,supported
wice:dev02319,ATTRIBUTABLE,supported
wice:dev03024,NOT_ATTRIBUTABLE,partially_supported
wice:dev00633,NOT_ATTRIBUTABLE,partially_supported
wice:dev00108,NOT_ATTRIBUTABLE,partially_supported
wice:dev00964,NOT_ATTRIBUTABLE,partially_supported
wice:dev02994,ATTRIBUTABLE,supported
wice:dev01351,NOT_ATTRIBUTABLE,partially_supported
wice:dev00330,NOT_ATTRIBUTABLE,partially_supported
wice:dev01231,NOT_ATTRIBUTABLE,partially_supported
wice:dev01927,NOT_ATTRIBUTABLE,partially_supported
wice:dev03946,NOT_ATTRIBUTABLE,partially_supported
wice:dev03890,NOT_ATTRIBUTABLE,partially_supported
wice:dev01746,NOT_ATTRIBUTABLE,partially_supported
wice:dev04146,NOT_ATTRIBUTABLE,partially_supported
wice:dev02466,NOT_ATTRIBUTABLE,partially_supported
wice:dev01323,NOT_ATTRIBUTABLE,partially_supported
wice:dev03250,ATTRIBUTABLE,supported
wice:dev04101,NOT_ATTRIBUTABLE,partially_supported
wice:dev00782,ATTRIBUTABLE,supported
wice:dev03830,ATTRIBUTABLE,supported
wice:dev03027,ATTRIBUTABLE,supported
wice:dev04217,ATTRIBUTABLE,supported
wice:dev03358,NOT_ATTRIBUTABLE,partially_supported
wice:dev03312,NOT_ATTRIBUTABLE,not_supported
wice:dev02066,ATTRIBUTABLE,supported
wice:dev04047,NOT_ATTRIBUTABLE,partially_supported
wice:dev04292,NOT_ATTRIBUTABLE,partially_supported
wice:dev01583,ATTRIBUTABLE,supported
wice:dev01418,NOT_ATTRIBUTABLE,partially_supported
wice:dev02041,ATTRIBUTABLE,supported
wice:dev00851,NOT_ATTRIBUTABLE,partially_supported
wice:dev02271,ATTRIBUTABLE,supported
wice:dev04390,NOT_ATTRIBUTABLE,partially_supported
wice:dev02375,NOT_ATTRIBUTABLE,not_supported
wice:dev00116,ATTRIBUTABLE,supported
wice:dev04285,NOT_ATTRIBUTABLE,not_supported
wice:dev03706,NOT_ATTRIBUTABLE,partially_supported
wice:dev00710,NOT_ATTRIBUTABLE,partially_supported
wice:dev03019,ATTRIBUTABLE,supported
wice:dev04441,NOT_ATTRIBUTABLE,partially_supported
wice:dev04059,ATTRIBUTABLE,supported
wice:dev03712,ATTRIBUTABLE,supported
wice:dev00664,NOT_ATTRIBUTABLE,partially_supported
wice:dev00292,NOT_ATTRIBUTABLE,partially_supported
wice:dev01786,ATTRIBUTABLE,supported
wice:dev01552,NOT_ATTRIBUTABLE,partially_supported
wice:dev02287,NOT_ATTRIBUTABLE,partially_supported
wice:dev03134,ATTRIBUTABLE,supported
wice:dev02718,NOT_ATTRIBUTABLE,partially_supported
wice:dev01841,NOT_ATTRIBUTABLE,partially_supported
wice:dev02891,NOT_ATTRIBUTABLE,partially_supported
wice:dev02470,ATTRIBUTABLE,supported
wice:dev00831,NOT_ATTRIBUTABLE,partially_supported
wice:dev02252,ATTRIBUTABLE,supported
wice:dev02210,NOT_ATTRIBUTABLE,partially_supported
wice:dev03128,NOT_ATTRIBUTABLE,partially_supported
wice:dev02246,ATTRIBUTABLE,supported
wice:dev01893,ATTRIBUTABLE,supported
wice:dev00781,NOT_ATTRIBUTABLE,partially_supported
wice:dev02256,NOT_ATTRIBUTABLE,partially_supported
wice:dev03839,NOT_ATTRIBUTABLE,not_supported
wice:dev02262,NOT_ATTRIBUTABLE,partially_supported
wice:dev00504,NOT_ATTRIBUTABLE,partially_supported
wice:dev00733,ATTRIBUTABLE,supported
wice:dev00217,NOT_ATTRIBUTABLE,partially_supported
wice:dev02311,ATTRIBUTABLE,supported
wice:dev03832,ATTRIBUTABLE,supported
wice:dev01469,NOT_ATTRIBUTABLE,partially_supported
wice:dev00771,NOT_ATTRIBUTABLE,partially_supported
wice:dev00556,ATTRIBUTABLE,supported
wice:dev00137,ATTRIBUTABLE,supported
wice:dev02060,NOT_ATTRIBUTABLE,partially_supported
wice:dev04389,ATTRIBUTABLE,supported
wice:dev01296,ATTRIBUTABLE,supported
wice:dev04470,NOT_ATTRIBUTABLE,partially_supported
wice:dev02061,NOT_ATTRIBUTABLE,partially_supported
wice:dev04214,NOT_ATTRIBUTABLE,not_supported
wice:dev00131,NOT_ATTRIBUTABLE,not_supported
wice:dev02618,ATTRIBUTABLE,supported
wice:dev03617,NOT_ATTRIBUTABLE,partially_supported
wice:dev03281,NOT_ATTRIBUTABLE,not_supported
wice:dev03186,NOT_ATTRIBUTABLE,partially_supported
wice:dev01180,NOT_ATTRIBUTABLE,partially_supported
wice:dev02950,NOT_ATTRIBUTABLE,partially_supported
wice:dev03307,NOT_ATTRIBUTABLE,not_supported
wice:dev00126,NOT_ATTRIBUTABLE,partially_supported
wice:dev00156,NOT_ATTRIBUTABLE,partially_supported
wice:dev02126,ATTRIBUTABLE,supported
wice:dev01868,NOT_ATTRIBUTABLE,partially_supported
wice:dev00005,NOT_ATTRIBUTABLE,not_supported
wice:dev00279,NOT_ATTRIBUTABLE,partially_supported
wice:dev00219,NOT_ATTRIBUTABLE,partially_supported
wice:dev02191,NOT_ATTRIBUTABLE,partially_supported
wice:dev02544,NOT_ATTRIBUTABLE,not_supported
wice:dev03793,NOT_ATTRIBUTABLE,not_supported
wice:dev03583,NOT_ATTRIBUTABLE,partially_supported
wice:dev02199,ATTRIBUTABLE,supported
wice:dev02401,ATTRIBUTABLE,supported
wice:dev01883,ATTRIBUTABLE,supported
wice:dev02478,ATTRIBUTABLE,supported
wice:test00561,NOT_ATTRIBUTABLE,partially_supported
wice:test03787,NOT_ATTRIBUTABLE,partially_supported
wice:test01962,NOT_ATTRIBUTABLE,partially_supported
wice:test04287,NOT_ATTRIBUTABLE,partially_supported
wice:test00912,ATTRIBUTABLE,supported
wice:test02812,NOT_ATTRIBUTABLE,partially_supported
wice:test00064,NOT_ATTRIBUTABLE,partially_supported
wice:test01029,NOT_ATTRIBUTABLE,partially_supported
wice:test04328,ATTRIBUTABLE,supported
wice:test03444,ATTRIBUTABLE,supported
wice:test04504,NOT_ATTRIBUTABLE,partially_supported
wice:test02359,NOT_ATTRIBUTABLE,partially_supported
wice:test01062,NOT_ATTRIBUTABLE,partially_supported
wice:test04259,NOT_ATTRIBUTABLE,partially_supported
wice:test02571,NOT_ATTRIBUTABLE,partially_supported
wice:test03809,NOT_ATTRIBUTABLE,partially_supported
wice:test04310,ATTRIBUTABLE,supported
wice:test03749,NOT_ATTRIBUTABLE,partially_supported
wice:test01231,NOT_ATTRIBUTABLE,partially_supported
wice:test04247,NOT_ATTRIBUTABLE,partially_supported
wice:test02993,NOT_ATTRIBUTABLE,partially_supported
wice:test04499,NOT_ATTRIBUTABLE,not_supported
wice:test01901,NOT_ATTRIBUTABLE,partially_supported
wice:test01064,ATTRIBUTABLE,supported
wice:test04021,ATTRIBUTABLE,supported
wice:test04027,NOT_ATTRIBUTABLE,partially_supported
wice:test00879,NOT_ATTRIBUTABLE,partially_supported
wice:test02384,NOT_ATTRIBUTABLE,not_supported
wice:test00093,NOT_ATTRIBUTABLE,partially_supported
wice:test00115,NOT_ATTRIBUTABLE,partially_supported
wice:test02816,NOT_ATTRIBUTABLE,partially_supported
wice:test00128,NOT_ATTRIBUTABLE,partially_supported
wice:test00069,NOT_ATTRIBUTABLE,partially_supported
wice:test02894,NOT_ATTRIBUTABLE,partially_supported
wice:test02342,NOT_ATTRIBUTABLE,partially_supported
wice:test04460,ATTRIBUTABLE,supported
wice:test01762,ATTRIBUTABLE,supported
wice:test01429,NOT_ATTRIBUTABLE,partially_supported
wice:test04515,ATTRIBUTABLE,supported
wice:test03895,NOT_ATTRIBUTABLE,partially_supported
wice:test01448,NOT_ATTRIBUTABLE,partially_supported
wice:test03771,NOT_ATTRIBUTABLE,partially_supported
wice:test00726,ATTRIBUTABLE,supported
wice:test03840,NOT_ATTRIBUTABLE,partially_supported
wice:test02072,NOT_ATTRIBUTABLE,partially_supported
wice:test00996,NOT_ATTRIBUTABLE,partially_supported
wice:test02315,ATTRIBUTABLE,supported
wice:test03997,NOT_ATTRIBUTABLE,partially_supported
wice:test02130,NOT_ATTRIBUTABLE,partially_supported
wice:test01053,ATTRIBUTABLE,supported
wice:test03602,NOT_ATTRIBUTABLE,partially_supported
wice:test03437,NOT_ATTRIBUTABLE,partially_supported
wice:test01425,NOT_ATTRIBUTABLE,partially_supported
wice:test04456,ATTRIBUTABLE,supported
wice:test04455,NOT_ATTRIBUTABLE,partially_supported
wice:test01146,NOT_ATTRIBUTABLE,partially_supported
wice:test00883,NOT_ATTRIBUTABLE,partially_supported
wice:test02428,NOT_ATTRIBUTABLE,partially_supported
wice:test00965,NOT_ATTRIBUTABLE,partially_supported
wice:test01741,NOT_ATTRIBUTABLE,partially_supported
wice:test03132,NOT_ATTRIBUTABLE,partially_supported
wice:test03098,NOT_ATTRIBUTABLE,partially_supported
wice:test02288,NOT_ATTRIBUTABLE,partially_supported
wice:test01201,NOT_ATTRIBUTABLE,partially_supported
wice:test02770,ATTRIBUTABLE,supported
wice:test03759,NOT_ATTRIBUTABLE,partially_supported
wice:test03723,NOT_ATTRIBUTABLE,partially_supported
wice:test00345,NOT_ATTRIBUTABLE,partially_supported
wice:test03017,NOT_ATTRIBUTABLE,partially_supported
wice:test00287,NOT_ATTRIBUTABLE,partially_supported
wice:test03084,NOT_ATTRIBUTABLE,partially_supported
wice:test00901,NOT_ATTRIBUTABLE,partially_supported
wice:test03137,NOT_ATTRIBUTABLE,partially_supported
wice:test02292,NOT_ATTRIBUTABLE,partially_supported
wice:test01760,NOT_ATTRIBUTABLE,partially_supported
wice:test01493,NOT_ATTRIBUTABLE,partially_supported
wice:test00937,NOT_ATTRIBUTABLE,not_supported
wice:test00874,NOT_ATTRIBUTABLE,partially_supported
wice:test01697,ATTRIBUTABLE,supported
wice:test02236,NOT_ATTRIBUTABLE,partially_supported
wice:test02679,ATTRIBUTABLE,supported
wice:test03001,NOT_ATTRIBUTABLE,partially_supported
wice:test03718,NOT_ATTRIBUTABLE,partially_supported
wice:test01035,NOT_ATTRIBUTABLE,partially_supported
wice:test02238,NOT_ATTRIBUTABLE,partially_supported
wice:test02553,NOT_ATTRIBUTABLE,not_supported
wice:test02877,NOT_ATTRIBUTABLE,partially_supported
wice:test01426,ATTRIBUTABLE,supported
wice:test03777,NOT_ATTRIBUTABLE,partially_supported
wice:test04002,NOT_ATTRIBUTABLE,partially_supported
wice:test01979,ATTRIBUTABLE,supported
wice:test00017,ATTRIBUTABLE,supported
wice:test03225,ATTRIBUTABLE,supported
wice:test01957,NOT_ATTRIBUTABLE,partially_supported
wice:test02661,ATTRIBUTABLE,supported
wice:test04349,ATTRIBUTABLE,supported
wice:test03394,NOT_ATTRIBUTABLE,partially_supported
wice:test03788,NOT_ATTRIBUTABLE,partially_supported
wice:test02547,NOT_ATTRIBUTABLE,partially_supported
wice:test04279,NOT_ATTRIBUTABLE,partially_supported
wice:test03432,NOT_ATTRIBUTABLE,partially_supported
wice:test02196,NOT_ATTRIBUTABLE,not_supported
wice:test02213,NOT_ATTRIBUTABLE,partially_supported
wice:test00231,NOT_ATTRIBUTABLE,not_supported
wice:test01572,ATTRIBUTABLE,supported
wice:test03215,ATTRIBUTABLE,supported
wice:test01297,ATTRIBUTABLE,supported
wice:test04524,ATTRIBUTABLE,supported
wice:test03052,NOT_ATTRIBUTABLE,partially_supported
wice:test01608,NOT_ATTRIBUTABLE,partially_supported
wice:test02149,ATTRIBUTABLE,supported
wice:test00228,NOT_ATTRIBUTABLE,partially_supported
wice:test01606,NOT_ATTRIBUTABLE,not_supported
wice:test01983,NOT_ATTRIBUTABLE,partially_supported
wice:test03014,NOT_ATTRIBUTABLE,not_supported
wice:test00652,NOT_ATTRIBUTABLE,partially_supported
wice:test02040,NOT_ATTRIBUTABLE,partially_supported
wice:test03321,NOT_ATTRIBUTABLE,not_supported
wice:test01656,ATTRIBUTABLE,supported
wice:test04324,NOT_ATTRIBUTABLE,not_supported
wice:test02896,NOT_ATTRIBUTABLE,partially_supported
wice:test01488,NOT_ATTRIBUTABLE,partially_supported
wice:test00374,NOT_ATTRIBUTABLE,partially_supported
wice:test02744,NOT_ATTRIBUTABLE,partially_supported
wice:test00606,NOT_ATTRIBUTABLE,partially_supported
wice:test01005,NOT_ATTRIBUTABLE,not_supported
wice:test01228,NOT_ATTRIBUTABLE,partially_supported
wice:test00238,ATTRIBUTABLE,supported
wice:test03377,ATTRIBUTABLE,supported
wice:test02578,NOT_ATTRIBUTABLE,partially_supported
wice:test02018,NOT_ATTRIBUTABLE,partially_supported
wice:test00931,NOT_ATTRIBUTABLE,partially_supported
wice:test00188,ATTRIBUTABLE,supported
wice:test00391,ATTRIBUTABLE,supported
wice:test01734,ATTRIBUTABLE,supported
wice:test03636,NOT_ATTRIBUTABLE,partially_supported
wice:test04307,ATTRIBUTABLE,supported
wice:test03529,NOT_ATTRIBUTABLE,partially_supported
wice:test03922,NOT_ATTRIBUTABLE,not_supported
wice:test03779,NOT_ATTRIBUTABLE,partially_supported
wice:test03756,NOT_ATTRIBUTABLE,partially_supported
wice:test01801,NOT_ATTRIBUTABLE,partially_supported
wice:test01620,NOT_ATTRIBUTABLE,partially_supported
wice:test02134,NOT_ATTRIBUTABLE,partially_supported
wice:test02823,ATTRIBUTABLE,supported
wice:test00846,NOT_ATTRIBUTABLE,partially_supported
wice:test03334,ATTRIBUTABLE,supported
wice:test04092,ATTRIBUTABLE,supported
wice:test00777,ATTRIBUTABLE,supported
wice:test03722,NOT_ATTRIBUTABLE,partially_supported
wice:test01938,ATTRIBUTABLE,supported
wice:test02879,NOT_ATTRIBUTABLE,partially_supported
wice:test03497,NOT_ATTRIBUTABLE,partially_supported
wice:test03535,NOT_ATTRIBUTABLE,partially_supported
wice:test00585,ATTRIBUTABLE,supported
wice:test02497,NOT_ATTRIBUTABLE,partially_supported
wice:test03300,ATTRIBUTABLE,supported
wice:test00772,ATTRIBUTABLE,supported
wice:test01447,ATTRIBUTABLE,supported
wice:test02682,NOT_ATTRIBUTABLE,partially_supported
wice:test00056,NOT_ATTRIBUTABLE,partially_supported
